id,word
1,the <unk> N of to a in and 's that for $ is it said on by at as from
2,the <unk> N of to a in and 's that for $ is it said on by at as from
3,the <unk> N of to a in and 's that for $ is it said on by at as from
4,the <unk> N of to a in and 's that for $ is it said on by at as from
5,the <unk> N of to a in and 's that for $ is it said on by at as from
6,the <unk> N of to a in and 's that for $ is it said on by at as from
7,the <unk> N of to a in and 's that for $ is it said on by at as from
8,the <unk> N of to a in and 's that for $ is it said on by at as from
9,the <unk> N of to a in and 's that for $ is it said on by at as from
10,the <unk> N of to a in and 's that for $ is it said on by at as from
11,the <unk> N of to a in and 's that for $ is it said on by at as from
12,the <unk> N of to a in and 's that for $ is it said on by at as from
13,the <unk> N of to a in and 's that for $ is it said on by at as from
14,the <unk> N of to a in and 's that for $ is it said on by at as from
15,the <unk> N of to a in and 's that for $ is it said on by at as from
16,the <unk> N of to a in and 's that for $ is it said on by at as from
17,the <unk> N of to a in and 's that for $ is it said on by at as from
18,the <unk> N of to a in and 's that for $ is it said on by at as from
19,the <unk> N of to a in and 's that for $ is it said on by at as from
20,the <unk> N of to a in and 's that for $ is it said on by at as from
21,the <unk> N of to a in and 's that for $ is it said on by at as from
22,the <unk> N of to a in and 's that for $ is it said on by at as from
23,the <unk> N of to a in and 's that for $ is it said on by at as from
24,the <unk> N of to a in and 's that for $ is it said on by at as from
25,the <unk> N of to a in and 's that for $ is it said on by at as from
26,the <unk> N of to a in and 's that for $ is it said on by at as from
27,the <unk> N of to a in and 's that for $ is it said on by at as from
28,the <unk> N of to a in and 's that for $ is it said on by at as from
29,the <unk> N of to a in and 's that for $ is it said on by at as from
30,the <unk> N of to a in and 's that for $ is it said on by at as from
31,the <unk> N of to a in and 's that for $ is it said on by at as from
32,the <unk> N of to a in and 's that for $ is it said on by at as from
33,the <unk> N of to a in and 's that for $ is it said on by at as from
34,the <unk> N of to a in and 's that for $ is it said on by at as from
35,the <unk> N of to a in and 's that for $ is it said on by at as from
36,the <unk> N of to a in and 's that for $ is it said on by at as from
37,the <unk> N of to a in and 's that for $ is it said on by at as from
38,the <unk> N of to a in and 's that for $ is it said on by at as from
39,the <unk> N of to a in and 's that for $ is it said on by at as from
40,the <unk> N of to a in and 's that for $ is it said on by at as from
41,the <unk> N of to a in and 's that for $ is it said on by at as from
42,the <unk> N of to a in and 's that for $ is it said on by at as from
43,the <unk> N of to a in and 's that for $ is it said on by at as from
44,the <unk> N of to a in and 's that for $ is it said on by at as from
45,the <unk> N of to a in and 's that for $ is it said on by at as from
46,the <unk> N of to a in and 's that for $ is it said on by at as from
47,the <unk> N of to a in and 's that for $ is it said on by at as from
48,the <unk> N of to a in and 's that for $ is it said on by at as from
49,the <unk> N of to a in and 's that for $ is it said on by at as from
50,the <unk> N of to a in and 's that for $ is it said on by at as from
51,the <unk> N of to a in and 's that for $ is it said on by at as from
52,the <unk> N of to a in and 's that for $ is it said on by at as from
53,the <unk> N of to a in and 's that for $ is it said on by at as from
54,the <unk> N of to a in and 's that for $ is it said on by at as from
